"","nonViolent","Violent","medInc","pUnPov","notHSG","unem","meanFam","tPar","unmarry","foren","raceM","buget","age1","age2","age3","age4","divo","nevMa","dens","pubTran","workM","af","ca","as","hi","medRent","largeHH","urban","sq","logunem","logunmarry","logmedInc","logforen","logden","logaf","loghi","logmedRent","loglargeHH","logurban","logpubTran","crpubTran","ctPar","cnotHSG"
"126",1662,1,26339,19.56,22.07,8.43,3.12,59.48,6.94,3.19,137,11,13.59,30.4,14.65,8.84,12.84,36.1,3608.4,2.92,66.53,17.85,74.61,1.8,7.98,355,6.02,100,1,2.13179677201376,1.93730177451871,10.1788060095044,1.16002091679675,8.19101973978248,2.88200350822565,2.07693841146172,5.87211778947542,1.79508725932073,4.60616968632117,1.07158361628019,1.429313899763,210432.531392,10749.963743
"127",1917,449,18548,28.12,34.55,12.78,3.23,61.16,3.93,6.84,23,314,13.98,24.99,11.71,15.39,12.31,28.73,734.1,1.07,63.92,42.19,49.31,4.81,8.22,226,8.34,98.92,21.1896201004171,2.54788144894939,1.36863942588117,9.82811724551135,1.92278773163446,6.59864525911674,3.74218322613625,2.10657020906809,5.42053499927229,2.12106321637066,4.59532184993328,0.0676586484738149,1.02280912176967,228771.768896,41242.421375
"128",1611,1405,43148,6.19,11.17,2.99,2.42,71.15,0.89,6,261,39,5.94,11.44,5.61,38.78,8.59,16.03,1718.2,0.24,65.09,5.58,93.87,0.22,2.11,463,1.43,100,37.4833296279826,1.0952733874026,-0.116533816255952,10.6723913454953,1.79175946922805,7.44903251020396,1.71918877639322,0.746687947487975,6.13772705408623,0.357674444271816,4.60616968632117,-1.42711635564015,0.621446501190772,360184.245875,1393.668613
"129",1264,973,36716,6.62,11.6,4.19,3.17,77.78,1.77,4.23,304,324,13.46,28.67,12.36,4.43,11.23,27.06,2688.6,3.42,76.69,0.99,90.64,3.69,11.48,418,4.17,100,31.1929479209644,1.43270073393405,0.570979546585738,10.510967906339,1.44220199305819,7.89677589102015,-0.0100503358535015,2.44060639089142,6.03548143252476,1.42791603581071,4.60616968632117,1.22964055107451,1.50663725458373,470547.874952,1560.896
"130",1581,1466,28242,9.52,21.65,5.46,2.96,74.41,1.48,1.57,291,257,12.45,25.52,11.82,13,11.28,22.99,1386.3,1.28,75.71,1.45,96.2,0.98,1.97,311,3.39,99.25,38.2883794381533,1.69744878975681,0.392042087776024,10.2485655106292,0.451075619360217,7.23439360654433,0.371563556432483,0.678033542749897,5.73979291217923,1.22082992139236,4.59864896899783,0.246860077931526,1.08576704663796,411996.867121,10147.842125
"131",1723,146,28377,15.19,49.75,10.91,3.45,64.25,8.26,25.03,35,151,14.92,29.47,14.7,12.54,9.65,37.94,8476.8,4.99,70.72,11.76,59.82,1.57,55.54,486,11.11,100,12.0830459735946,2.38967979984498,2.11142458753289,10.2533342368813,3.22007510544368,9.04508829907775,2.46470394247048,4.01710348187865,6.18620862390049,2.40784560365154,4.60616968632117,1.60743590976343,1.70883520187738,265228.015625,123134.359375
"132",1538,1202,37840,6.06,31.51,6.22,3.25,80.03,1.62,26.96,212,179,12.95,28.53,13.26,12.21,6.46,36.17,3681.5,10,66.97,1.24,90.49,4.7,17.06,535,5.83,100,34.6698716467194,1.82776990675109,0.482426149244293,10.5411220231658,3.29435428604411,8.21107555680877,0.215111379616945,2.83673654206353,6.28226674689601,1.7630170003624,4.60616968632117,2.30258509299405,2.15443469003188,512576.216027,31285.651951
"133",1797,1,40579,5.83,15.21,5.77,3.01,76.41,1.71,14.13,41,121,11.33,24.76,11.41,14.81,9.2,31.59,2786.6,0.74,69.51,29.12,67.89,2.38,1.72,614,4.85,100,1,1.75267208052001,0.536493370514568,10.611005970395,2.64830019669644,7.93257749367949,3.37142522332849,0.542324290825362,6.41999492814714,1.57897870494939,4.60616968632117,-0.301105092783922,0.904504169651028,446118.875721,3518.743761
"134",930,703,49642,3.63,12.68,3.96,2.96,83.38,1.04,12.35,298,154,11.46,21.5,10.78,18.84,5.17,28.73,2639.6,4.26,71.63,2.18,93.98,2.84,3.15,618,3.11,100,26.5141471671257,1.37624402526639,0.0392207131532813,10.8125925285956,2.51365606307399,7.87838266950927,0.779324876800998,1.14740245283754,6.42648845745769,1.13462272619114,4.60616968632117,1.44926916028128,1.62107534151932,579676.470472,2038.720832
"135",1616,206,35103,14.92,22.48,6.3,3.23,67.82,7.02,27.53,206,145,12.4,28.85,13.61,11.28,9.52,40.7,5524.4,5.5,61.71,18.96,57.25,8.11,27.29,573,10.5,100,14.3527000944073,1.84054963339749,1.94876321803772,10.4660418758871,3.31527631915452,8.61692992320377,2.94233149682688,3.30652033472025,6.35088571671474,2.35137525716348,4.60616968632117,1.70474809223843,1.76517416766303,311941.643768,11360.276992
"136",1762,1654,30273,9.5,15.21,5.11,3.2,76.87,1.77,4.86,290,306,14.41,29.13,13.64,11.38,9.74,28.15,2560.8,0.9,68.12,1.85,90.07,1.51,10.88,396,7.86,100,40.6693988153255,1.63119940421561,0.570979546585738,10.3180115051326,1.5810384379124,7.84807498865565,0.615185639090233,2.3869262414278,5.98141421125448,2.06178660644112,4.60616968632117,-0.105360515657826,0.96548938460563,454224.591703,3518.743761
"137",1344,1252,30144,10.82,20.31,5.87,3.07,70.94,4.51,2.88,56,26,15.27,30.86,15.85,8.9,10.82,30.76,2492.2,2.38,70.7,38.85,58.41,1.75,1.97,385,3.88,100,35.3836120259083,1.76985463384001,1.50629715351459,10.3137411773761,1.05779029414785,7.82092113350877,3.65970807681366,0.678033542749897,5.95324333428778,1.35583515363518,4.60616968632117,0.867100487683383,1.33513644936912,357004.386584,8377.795791
"138",2031,1110,18546,28.78,31.37,11.25,3.25,55.85,9.08,1.14,29,341,15.12,27.45,12.96,12.72,11.47,32.28,1919.6,2.96,69.15,49.29,49.64,0.7,1.03,233,7.79,100,33.3166624979154,2.42036812865043,2.2060741926132,9.82800941136017,0.131028262406404,7.55987210998409,3.89772122071729,0.0295588022415444,5.4510384535657,2.05284085988266,4.60616968632117,1.08518926833597,1.43581087041366,174208.576625,30870.492353
"139",1681,1,32659,11.92,31.8,8.88,3.21,68.46,3.36,3.9,240,273,15.39,29.94,14.71,7.33,10.82,30.64,2894.5,0.69,56.84,4.21,93.23,1.26,2.81,387,5.23,100,1,2.18380155700408,1.21194097397511,10.3938757475621,1.3609765531356,7.97056766351906,1.43746264769429,1.03318448334565,5.95842469302978,1.65441127807683,4.60616968632117,-0.371063681390832,0.883655592240361,320856.383736,32157.432
"140",1491,1845,43946,7.07,9.61,6.46,3.2,75.08,3.32,5.9,186,51,13.96,28.98,13.23,3.48,12.91,30.96,128.7,2.42,69.06,6.43,80.74,4.82,4.09,528,5.36,97.97,42.9534631898291,1.86562931779451,1.1999647829284,10.6907168864572,1.77495235091167,4.85748411460208,1.86097453824953,1.40854497005471,6.26909628370626,1.67896397508271,4.58568150940423,0.883767540168595,1.34257468891731,423226.440512,887.503681
"141",1637,1155,31767,10.55,19.29,5.24,3.07,72.46,2.38,12.62,143,264,13.16,34.64,15.76,5.01,12.54,33.57,2213,1.5,74.74,7.52,78.73,4.61,16.28,424,5.27,100,33.9852909359329,1.65632149833295,0.867100487683383,10.3661832940986,2.53528285711307,7.70210434005105,2.01756613796175,2.78993736057439,6.04973345523196,1.66203036255327,4.60616968632117,0.405465108108164,1.14471424255333,380447.722936,7177.888089
"142",1904,1839,23430,21.89,24.79,8.73,3.16,68.02,6.33,2.65,101,251,16.61,31.09,16.76,8.64,10,36.05,2226.3,2.16,64.07,27.19,70.8,1.35,1.71,254,5.44,100,42.8835632847831,2.16676536985151,1.84530023615608,10.0617725315018,0.974559639998131,7.7080962936442,3.30284925864438,0.536493370514568,5.53733426701854,1.69377906086785,4.60616968632117,0.770108221696074,1.29266081401913,314709.521608,15234.548239
"143",1358,182,59290,2.28,14.66,3.91,3.2,89.41,0.54,10.78,271,4,14.01,25.19,13.66,11.48,4.63,29.94,1905.3,4.11,62.85,1.06,95,3.12,3.08,693,4.46,100,13.490737563232,1.36353737399727,-0.616186139423817,10.9901959367014,2.37769256548085,7.55239475547704,0.0582689081239758,1.12492959698548,6.5410299991899,1.49514876603197,4.60616968632117,1.41342302850814,1.60182084371072,714756.781621,3150.662696
"144",1346,1219,38976,6.97,25.57,5.79,2.93,64.59,6.97,23.51,50,96,9.28,27.33,11.67,12.89,12.03,40.11,8684.7,14.4,69.42,24.77,66.36,3.67,15.1,639,5.19,100,34.9141805001922,1.7561322915849,1.94161522477243,10.5707013510696,3.15742586255198,9.06931813576427,3.20963324350127,2.71469474382088,6.45990445437753,1.6467336971778,4.60616968632117,2.66722820658195,2.43288079822936,269460.960579,16718.302693
"145",2075,310,24923,24.04,30.99,8.52,3.43,63.59,6.28,17.15,171,60,15.24,29.81,14.69,8.98,10.89,34.97,3448.5,2.17,54.85,8.3,59.18,12.52,29.87,369,11.46,100,17.606816861659,2.14241634084122,1.83736998048011,10.1235463508884,2.84199817361195,8.14569463287135,2.11625551480255,3.39685463222802,5.91079664404053,2.43886271128659,4.60616968632117,0.774727167552368,1.29465259038037,257138.126279,29762.179299
"146",2029,1930,15890,43.86,54.51,15.3,4.13,70.02,4.28,28.87,2,233,21.08,33.08,16.68,7.94,6.4,34.38,3423.3,2.4,52.65,0.2,84.77,0.3,90.14,236,21.96,100,43.9317652729776,2.72785282839839,1.45395300959371,9.67344525953076,3.36280299367484,8.13836027710874,-1.6094379124341,4.5013640172625,5.46383180502561,3.08922261664133,4.60616968632117,0.8754687373539,1.33886590016434,343294.084008,161967.748851
"147",1664,1381,41921,9.81,17.28,4.66,3.24,76.35,2.58,23.64,155,74,14.83,31.81,16.71,9.13,9.39,37.01,4980.1,2.35,64.08,2.17,74.65,12.18,21.29,659,8.88,100,37.1618083521241,1.53901544813755,0.947789398933526,10.6435421736722,3.1629401925379,8.51320525013838,0.774727167552368,3.05823747890539,6.49072353450251,2.18380155700408,4.60616968632117,0.854415328156068,1.32950289523459,445068.772875,5159.780352
"148",1712,1602,25983,12.86,30.56,6.26,3,65.5,6.05,5.79,313,247,12.67,27.39,13.52,15.05,10.68,34.2,5726.9,3.47,67.79,4.98,86.17,1.35,11.68,377,4.66,100,40.024992192379,1.83418018511201,1.80005827204275,10.1651977569992,1.7561322915849,8.65292965109247,1.60542989103656,2.45787797740008,5.93224518744801,1.53901544813755,4.60616968632117,1.24415459395877,1.51394404809201,281011.375,28540.399616
"149",1957,669,19390,29.43,35.24,16.6,3.42,43.22,12.63,1.42,185,249,17.22,27.6,13.44,10.52,14.84,38.76,2241.1,6.1,62.52,80.57,16.31,0.18,5.74,223,10.66,100,25.8650343127551,2.8094026953625,2.5360749363624,9.8725127482367,0.350656871613169,7.71472209574154,4.3891263717891,1.74745921033147,5.40717177146012,2.3664984187377,4.60616968632117,1.80828877117927,1.82716013686352,80733.594248,43763.061824
"150",1840,294,26883,13.49,30.67,8.93,3.21,68.1,4.05,4.39,243,289,13.88,26.9,12.32,13.34,11.44,31.11,3542.9,4.41,59.19,9.19,84.84,0.41,11.8,297,6.76,100,17.1464281994822,2.18941639488841,1.39871688111845,10.1992493955523,1.47932922708708,8.17270087979879,2.2181159363676,2.46809953147162,5.6937321388027,1.91102289005487,4.60616968632117,1.48387468945875,1.63988299780007,315821.241,28849.701763
"151",1920,1424,31885,13.61,10.08,5.19,3.08,73.62,2.69,7.23,220,13,18.97,38.87,22.84,5.96,9.22,46.43,3465.2,1.48,69.44,3.2,86.85,4.05,10.88,437,5.11,100,37.7359245282264,1.6467336971778,0.989541193613748,10.3698909587494,1.97823903617067,8.15052563001598,1.16315080980568,2.3869262414278,6.07993319509559,1.63119940421561,4.60616968632117,0.392042087776024,1.13960384306101,399013.361928,1024.192512
"152",243,1417,37539,3.43,17.03,5.35,3.15,84.02,0.8,5.77,134,243,12.78,23.63,11.04,13.59,7,25.58,2168.3,1.09,70.28,1.46,97.34,0.73,2.28,397,4.1,100,37.6430604494374,1.67709656090792,-0.22314355131421,10.5331356715332,1.75267208052001,7.68169872937017,0.378436435720245,0.824175442966349,5.98393628068719,1.41098697371026,4.60616968632117,0.0861776962410524,1.02914246657151,593127.460808,4939.055927
"153",1473,1972,20141,22.61,32.81,8.24,3.02,53.89,8.76,1.5,158,292,13.13,26.4,12.64,14.71,14.08,35.37,4181.4,8.61,69.2,29.65,69.21,0.73,0.65,244,5.02,100,44.407206622349,2.10900034392138,2.1701959049483,9.91051281747288,0.405465108108164,8.33840139767253,3.38946212544373,-0.430782916092454,5.4971682252932,1.61342993370364,4.60616968632117,2.15292431843964,2.04959341530072,156503.678869,35319.837041
"154",1873,209,25153,21.61,23.46,5.15,3.12,59.31,10.52,2.37,183,94,17.66,33.2,19.51,11.69,9.55,43.56,1796.2,5.85,73.01,41.58,57.23,0.85,0.81,341,5.93,100,14.456832294801,1.63899671467564,2.35327820730956,10.1327324527083,0.86288995514704,7.49342860123685,3.72761928242987,-0.210721031315653,5.83188247728352,1.78002421300963,4.60616968632117,1.76644166124377,1.80184994991457,208633.369491,12911.717736
"155",742,144,81957,3.15,6.95,3.17,2.96,86.02,0.29,12.18,9,119,11.25,19.84,9.77,12.35,6.97,26.41,1177.6,17.48,59.59,1.07,96.97,1.63,2.24,995,2.83,100,12,1.15373158788919,-1.23787435600162,11.3139499984618,2.49979526228175,7.07123374797461,0.0676586484738149,0.806475865866949,6.90274273715859,1.04027671165515,4.60616968632117,2.86105737022739,2.59525762741094,636499.863208,335.702375
"156",1854,1594,26576,14.03,16.81,6.75,2.91,63.98,4.91,5.12,285,296,11.84,30.02,14.82,12.71,11.75,40.16,2743.7,3.82,66.78,1.12,96.59,1.66,0.8,450,3.39,100,39.9249295553543,1.90954250488444,1.59127394180643,10.1877638318531,1.63315443905142,7.91706265342281,0.113328685307003,-0.22314355131421,6.10924758276437,1.22082992139236,4.60616968632117,1.34025042261848,1.56322366478619,261898.316792,4750.104241
"157",1329,1336,49787,6.29,18.81,5.08,3.08,72.41,6.42,18.58,162,99,10.46,26,11.55,11.86,7.96,35.01,2765.1,11.33,68.27,17.78,76.28,2.6,9.77,716,5.87,100,36.5513337649941,1.62531126159039,1.85941811770187,10.8155091847581,2.92208573338569,7.92483207966773,2.87807423008576,2.27931646605469,6.57368016696065,1.76985463384001,4.60616968632117,2.42745407503992,2.24600112756053,379660.698521,6655.280841
"158",1326,1173,48171,5.2,20.48,4.69,3.08,74.35,4.63,13.3,308,59,10.6,26.36,11.59,11.33,8.5,33.93,3315.6,8.17,70.14,15.48,79.29,1.65,9.37,647,5.3,100,34.2490875790874,1.54543258245819,1.53255686809814,10.7825124592178,2.58776403522771,8.10639388171737,2.73954886816158,2.23751309625033,6.4723462945009,1.66770682055808,4.60616968632117,2.10046890887191,2.01406748757382,411001.037875,8589.934592
"159",1832,404,21006,24.34,30.39,7.84,3.11,50.06,11.81,2.76,72,68,13.96,29.98,15.2,12.22,13.02,42.09,4550.3,11.26,64.27,37.94,60.51,1.11,0.66,283,6.46,100,20.0997512422418,2.05923883436232,2.46894663020927,9.95256339018272,1.01523067972906,8.42294844383738,3.63600596450687,-0.415515443961666,5.64544689764324,1.86562931779451,4.60616968632117,2.42125662271154,2.24136608847536,125450.540216,28066.748319
"160",1565,10,30590,11.47,23.7,6.57,3.1,67.72,4.36,10.26,207,114,12.34,27.06,12.54,9.67,17.41,29.56,2993.5,2.85,71.22,11.43,78.42,3.61,12.53,434,6.67,99.84,3.16227766016838,1.88251383249652,1.47247205736094,10.3284284371449,2.32825283974262,8.00419855036541,2.43624147780672,2.52812576890798,6.07304453410041,1.89761985992753,4.60457000591606,1.04731899428056,1.41779993901769,310563.811648,13312.053
"161",2049,1775,21038,24.38,36.08,8.38,3.13,51.01,10.44,0.84,69,320,15.33,28.24,14.46,13.24,13.84,34.09,2149.4,2.76,69.49,52.19,47.15,0.42,0.62,238,6.16,100,42.1307488658818,2.12584791449399,2.34564458245449,9.95408560529922,-0.174353387144778,7.67294401240705,3.95489090565532,-0.478035800943,5.47227067367148,1.81807677754543,4.60616968632117,1.01523067972906,1.40271581669993,132729.045301,46967.731712
"162",3,1807,27371,14.16,18.66,5.33,2.87,64.89,4.22,5.11,97,211,12.28,35.99,17.68,9.2,13.6,38.5,2090.2,1.19,69.87,20.53,76.27,1.84,3.21,455,3.74,100,42.5088226136646,1.67335123817775,1.43983512804792,10.217239337721,1.63119940421561,7.6450150341604,3.02188723103084,1.16627093714192,6.12029741895095,1.31908561142644,4.60616968632117,0.173953307123438,1.05969850212481,273233.108169,6497.329896
"163",2088,139,20609,22.11,26.95,6.21,2.91,52.67,8.53,1.82,141,295,17.08,30.71,17.91,14.46,11.05,38.26,1805,3.22,71.05,33.88,64.94,0.57,0.86,304,3.82,100,11.7898261225516,1.82616089594539,2.14358936150359,9.93348315257151,0.598836501088704,7.49831587076698,3.52282486978385,-0.150822889734584,5.71702770140622,1.34025042261848,4.60616968632117,1.16938135955632,1.47667625193284,146113.369163,19573.852375
"164",1525,1554,24130,19.56,24.43,6.56,3.17,75,2.96,3.29,193,269,18.34,35.04,20.23,8.84,8.85,35.16,1726.3,0.89,68.5,8.56,77.63,1.41,22.51,316,6.11,100,39.4208066888541,1.880990602956,1.08518926833597,10.0912111586191,1.19088756477728,7.4537356688225,2.14710019015365,3.11395965491864,5.75574221358691,1.8099267731835,4.60616968632117,-0.116533816255952,0.961900171607705,421875,14580.432307
"165",1851,1880,30733,10.91,38.66,7.2,3.25,67.22,6.12,5.89,103,315,14.67,27.2,13.4,12.72,9.91,32.04,769.8,1.83,70.99,11.48,73.01,0.88,23.6,435,6.73,100,43.3589667773576,1.97408102602201,1.81156209652423,10.3330922748308,1.7732559976635,6.64613074084965,2.44060639089142,3.16124671203156,6.07534603108868,1.90657514365664,4.60616968632117,0.60431596685333,1.22316120069309,303735.479048,57781.065896
"166",2111,714,26119,15.76,21.9,4.56,2.98,57.46,9.1,6.94,80,205,15.77,34.53,18.37,10.06,13.99,42.76,2363.3,3.56,72.24,26.9,68.76,1.56,8.74,428,5.24,100,26.7207784317748,1.51732262352629,2.2082744135228,10.1704182978183,1.93730177451871,7.76781422638624,3.29212628660779,2.16791018966744,6.0591231955818,1.65632149833295,4.60616968632117,1.26976054486394,1.52692134429846,189712.900936,10503.459
"167",2071,812,27095,18.82,25.61,9.38,3.28,52.13,10.31,19.75,63,184,12.88,27.02,12.96,10.63,13.22,42.43,6409.1,18.71,61.43,43.88,32.47,14.76,13.89,486,10.39,100,28.49561369755,2.23857976301813,2.33311429802887,10.2071044880002,2.98315349134713,8.7654741344407,3.78145863540703,2.63116915676625,6.18620862390049,2.34084380511114,4.60616968632117,2.929058140286,2.65475590716207,141665.198597,16796.884481
"168",2072,634,18631,22.49,26.4,7.89,2.79,49.12,7.96,7.04,31,126,16.18,31.84,19.52,18.57,13.27,43.93,1853.5,3.49,69.44,30.72,67.37,1.14,2.48,355,4.5,100,25.1793566240283,2.06559613485778,2.07442899985629,9.83258213902035,1.95160817016995,7.52483102259079,3.42491390827947,0.908258560176891,5.87211778947542,1.50407739677627,4.60616968632117,1.24990173621434,1.51684711186136,118515.478528,18399.744
"169",1482,1548,42481,7.71,19.41,4.96,3.51,75.18,3.59,25.28,39,25,15.55,29.44,14.49,8.07,8.68,33.47,5724.9,3.13,65.64,8.54,59.78,17.2,34.61,672,11.38,100,39.344631145812,1.60140574073684,1.27815220250019,10.6568121961284,3.23001356927866,8.65258036102098,2.14476100780048,3.54414265764725,6.51025834052315,2.43185742869818,4.60616968632117,1.14103300455206,1.46278819167892,424919.795832,7312.680621
"170",1790,322,22886,16.84,33.44,7.94,3.07,67.6,3.33,0.66,276,43,13.38,26.52,12.38,12.76,12.24,24.67,2966.4,1.53,64.81,7.32,91.93,0.39,0.5,286,4.14,100,17.9443584449264,2.07191327525904,1.20297230399235,10.0382806488777,-0.415515443961666,7.99510437537154,1.99061032797322,-0.693147180559945,5.65599181081985,1.42069578783722,4.60616968632117,0.425267735404344,1.15229535251109,308915.776,37393.731584
"171",1836,1948,32154,15,22.23,7.1,3.26,68.83,5.23,7.95,136,327,14.31,28.34,13.09,8.18,11.7,28.75,1837.3,1.24,62.77,9.44,72.66,3.57,20.51,389,7.16,99.61,44.1361529814278,1.96009478404727,1.65441127807683,10.3782921387229,2.07317192866624,7.51605238162569,2.24495598015741,3.02091257208429,5.96357934361845,1.96850998097255,4.6022659728407,0.215111379616945,1.07433707098897,326086.867387,10985.463567
"172",1688,126,25152,18.31,22.28,6.09,2.94,53.15,8.96,7.7,109,163,17.82,35.77,22.08,13.02,9.75,51.97,4557.8,15.02,73.44,20.65,75.51,2.3,3.15,388,4.47,100,11.2249721603218,1.80664808172181,2.19277022698684,10.1326926952289,2.04122032885964,8.42459532994867,3.02771531940704,1.14740245283754,5.96100533962327,1.49738840862548,4.60616968632117,2.70938264633599,2.46730768179326,150144.630875,11059.756352
"173",44,1131,21650,26.34,48.79,14.71,3.55,43.2,20,18.68,5,219,16.79,31.88,16.08,8.51,11.84,47.63,11153.6,24.89,59.85,58.46,28.62,1.19,26.07,385,13.13,100,33.6303434416005,2.68852753461335,2.99573227355399,9.98276073343064,2.9274534328007,9.31951759473213,4.0683427596831,3.26078522794541,5.95324333428778,2.57489968831471,4.60616968632117,3.2144661163795,2.91972287355591,80621.568,116142.843439
"174",1829,915,26810,17.71,30.7,11.76,3.42,41.2,16.74,12.96,16,143,14.22,28.16,13.66,10.2,14.94,45.21,18091.3,25.57,71.9,89.95,7.21,0.63,4.05,478,12.4,100,30.2489669245083,2.46470394247048,2.81780106506133,10.19653023123,2.56186769092413,9.80318643871501,4.49925396039654,1.39871688111845,6.16961073249146,2.51769647261099,4.60616968632117,3.2414197893031,2.9460734890651,69934.528,28934.443
"175",1919,1459,23487,16.78,24.93,8.2,3.2,68.87,2.64,3.88,201,271,15.36,29.27,14.82,12.98,13.48,28.53,2365.2,2.84,69.91,2.72,87.44,1.76,12,266,8.44,100,38.1968585095686,2.10413415427021,0.970778917158225,10.064202355576,1.35583515363518,7.76861786394667,1.00063188030791,2.484906649788,5.5834963087817,2.13298230860787,4.60616968632117,1.04380405217311,1.416139750217,326655.706103,15494.117157
"176",1792,1127,25369,17.04,11.44,6.42,2.9,70.42,1.89,5.1,263,21,17.3,31.76,19.04,11.15,10.86,38.08,2858.7,3.53,71.18,1.25,93.43,3.46,2.71,375,3.18,100,33.570820663189,1.85941811770187,0.636576829071551,10.1412832351827,1.62924053973028,7.95812225502225,0.22314355131421,0.99694863489161,5.92692602597041,1.15688119679209,4.60616968632117,1.26129787094521,1.52262013462771,349211.118088,1497.193984
"177",2076,1895,22147,22.96,37.24,9.18,3.23,54.32,9.23,19.62,54,29,18.71,34.52,20.6,11.91,8.88,47.78,8403.8,7.61,60.15,14.83,69.93,5.94,15.54,389,8.14,100,43.5315977193578,2.2170272046324,2.22245904851476,10.0054573261198,2.97654945413722,9.03643926349037,2.69665215614984,2.7434173449395,5.96357934361845,2.09679018001445,4.60616968632117,2.02946317187359,1.96695708947976,160279.981568,51645.087424
"178",61,12,23958,17.2,26.96,5.39,3,63.45,5.46,1.13,111,318,13.36,25.2,11.67,13.95,13.03,25.54,1500,1.58,72.04,23.62,75.32,0.41,0.84,272,4.52,100,3.46410161513775,1.68454538492091,1.69744878975681,10.0840575762913,0.122217632724249,7.3132203870903,3.16209381076922,-0.174353387144778,5.605802066296,1.50851199384414,4.60616968632117,0.457424847038875,1.16471328451175,255443.513625,19595.649536
"179",1553,752,55333,4.65,5.27,2.4,2.84,78.37,0.88,18.06,236,180,10.27,23.58,10.36,13.73,9.34,37.46,2278.3,2.64,69.06,2.88,84.9,10.44,4.99,825,2.65,99.36,27.4226184016042,0.8754687373539,-0.127833371509885,10.921124754556,2.89369954798884,7.731184829805,1.05779029414785,1.60743590976343,6.71538338633468,0.974559639998131,4.59975555328659,0.970778917158225,1.38208464600224,481337.325253,146.363183
"180",1124,594,41745,3.54,22.22,4.97,3.04,78.38,2.18,6.16,117,343,11.17,22.59,10.65,18.16,7.25,29.25,2711.4,1.99,73,7.89,90.07,0.81,3.59,558,4.22,100,24.3721152139079,1.60341984010854,0.779324876800998,10.6393349626281,1.81807677754543,7.90522038564529,2.06559613485778,1.27815220250019,6.32435896238131,1.43983512804792,4.60616968632117,0.688134638736401,1.25781767194355,481521.604472,10970.645048
"181",1092,1,55407,2.83,11.07,3.19,3.29,89.95,0.37,11.61,226,117,13.95,24.43,11.69,7.69,5.9,28.17,2098,0.16,63.92,1.35,91.52,6.78,1.27,584,4.54,100,1,1.16002091679675,-0.994252273343867,10.922461218544,2.4518667957098,7.64873978895624,0.300104592450338,0.2390169004705,6.36990098282823,1.51292701205326,4.60616968632117,-1.83258146374831,0.542883523318981,727785.674875,1356.572043
"182",764,779,32455,11.47,24.82,6.33,3.1,68.84,4.28,22.27,229,335,12.34,36.91,18.58,11.08,6.53,51.42,17893,27.93,68.15,5.6,88.73,3.71,6.28,591,6.34,100,27.9105714739057,1.84530023615608,1.45395300959371,10.3876097934676,3.10324048126928,9.79216485389186,1.7227665977411,1.83736998048011,6.3818160174061,1.84687876844913,4.60616968632117,3.32970137995709,3.03405636938973,326229.015104,15289.924168
"183",1590,1511,24056,18.63,28.48,7.16,3.12,63.91,5.78,3.4,157,259,15.74,30.25,15.46,9.92,11.42,31.28,800,1.49,67.39,38.02,58.99,1.4,2.95,275,4.67,96.78,38.8715834511536,1.96850998097255,1.75440368268429,10.0881397246684,1.22377543162212,6.68461172766793,3.63811233706028,1.08180517035173,5.61677109766657,1.54115907168081,4.57347309924484,0.398776119957368,1.14216475918538,261039.634471,23100.424192
"184",784,458,34528,6.52,26.03,5.96,3.02,78.22,2.08,7.34,268,285,11.26,24.23,11.85,16.87,8.3,31.6,2569.9,2.62,66.56,2.42,95.08,1.77,2.01,461,3.3,100,21.4009345590327,1.78507048107726,0.732367893713227,10.4495258680579,1.99333884262642,7.8516222666264,0.883767540168595,0.698134722070984,6.13339804299665,1.19392246847243,4.60616968632117,0.963174317773006,1.3785856825619,478578.776248,17636.910227
"185",140,1947,47506,6.47,10.4,4.03,2.93,79.7,1.16,35.61,2,198,17.11,28.9,18.54,15.59,8.04,39.6,3272.2,3.11,60.42,3.42,93.05,1.74,41.85,476,4.25,100,44.1248229458204,1.39376637595859,0.148420005118273,10.768611297835,3.57262649728969,8.09321782054898,1.22964055107451,3.73409179693548,6.16541785423142,1.44691898293633,4.60616968632117,1.13462272619114,1.45966590216046,506261.573,1124.864
"186",1384,1553,22468,14.5,14.16,9.52,3.16,76.38,3.9,8.49,28,244,17.26,39.65,21.23,3.69,9.6,21.93,2215.9,0.09,63.75,30.08,58.09,5.75,14,313,4.67,100,39.4081209904761,2.25339484880327,1.3609765531356,10.0198473536523,2.13888900032326,7.70341392049516,3.40386049908164,2.63905732961526,5.74620319054015,1.54115907168081,4.60616968632117,-2.40794560865187,0.448140474655716,445593.618072,2839.159296
"187",976,509,41814,4.36,15.22,3.83,2.99,82.45,1.38,7.16,208,31,12.6,24.4,12.81,17.14,6.44,30,1543.8,3.13,74.37,8.69,88.92,1.78,2.02,600,3.24,95.82,22.561028345357,1.34286480319255,0.322083499169113,10.6409864906666,1.96850998097255,7.34200218851575,2.1621729392773,0.703097511413113,6.39692965521615,1.17557332980424,4.56351451071926,1.14103300455206,1.46278819167892,560495.306125,3525.688648
"188",1888,1796,25377,16.98,22.56,7.22,3.08,71.28,3.31,2.41,129,313,14.56,27.09,13.16,11.64,11.63,25.22,1297.6,0.13,65.73,19.9,76.64,0.59,4.12,274,4.55,100,42.3792402008342,1.97685495290473,1.19694818938897,10.1415985309721,0.879626747502564,7.16827168336115,2.99071973173045,1.41585316336144,5.61312810638807,1.51512723296286,4.60616968632117,-2.04022082852655,0.506579701910089,362162.161152,11481.993216
